9	J	15566
8	R	15566
8	J	15581
7	R	15581
7	J	15596
14	R	15596
14	Z	15601
13	R	15601
13	J	15616
10	R	15616
10	J	15631
9	R	15631
9	J	15646
1	J	15646
15	R	15646
0	J	15646
6	R	15646
15	E	15646
6	Z	15646
8	R	15646
8	J	15661
7	R	15661
7	J	15676
13	R	15676
13	J	15691
10	R	15691
10	J	15706
1	J	15706
14	R	15706
14	Z	15706
9	R	15706
9	J	15721
8	R	15721
8	J	15736
7	R	15736
7	J	15751
13	R	15751
13	J	15766
10	R	15766
10	J	15781
9	R	15781
9	J	15796
8	R	15796
8	J	15811
0	J	15811
6	R	15811
8	E	15812
6	Z	15812
14	R	15812
14	Z	15812
7	R	15812
7	J	15827
13	R	15827
13	J	15842
10	R	15842
10	J	15857
9	R	15857
9	J	15872
7	R	15872
7	J	15887
13	R	15887
13	J	15902
10	R	15902
10	J	15917
0	J	15917
6	R	15917
10	E	15918
14	R	15918
14	Z	15918
6	R	15918
6	Z	15918
9	R	15918
9	J	15933
7	R	15933
7	J	15948
13	R	15948
13	J	15963
9	R	15963
9	J	15978
7	R	15978
7	J	15993
13	R	15993
13	J	16008
9	R	16008
9	J	16023
1	J	16023
14	R	16023
14	Z	16023
7	R	16023
7	J	16038
13	R	16038
13	Z	16038
9	R	16038
9	J	16053
7	R	16053
7	J	16068
9	R	16068
9	J	16083
7	R	16083
7	J	16098
9	R	16098
9	J	16113
7	R	16113
7	J	16128
1	J	16128
14	R	16128
14	Z	16128
9	R	16128
9	J	16143
1	J	16143
13	R	16143
13	Z	16143
7	R	16143
7	J	16158
9	R	16158
9	J	16173
7	R	16173
7	J	16188
9	R	16188
9	J	16203
7	R	16203
7	J	16218
9	R	16218
9	J	16233
0	J	16233
14	R	16233
14	Z	16234
6	R	16234
9	E	16234
6	Z	16234
7	R	16234
7	J	16249
1	J	16249
13	R	16249
13	Z	16249
7	R	16249
7	J	16264
7	J	16279
7	J	16294
7	J	16309
7	J	16324
7	J	16339
1	J	16339
14	R	16339
0	J	16339
6	R	16339
14	E	16339
6	Z	16339
7	R	16339
7	J	16354
1	J	16354
13	R	16354
13	Z	16354
7	R	16354
7	J	16369
7	J	16384
7	J	16399
7	J	16414
7	J	16429
7	J	16444
7	J	16459
1	J	16459
13	R	16459
13	Z	16459
7	R	16459
7	J	16474
7	J	16489
7	J	16504
7	J	16519
7	J	16534
7	J	16549
7	J	16564
1	J	16564
13	R	16564
13	Z	16564
7	R	16564
7	J	16579
7	J	16594
7	J	16609
7	J	16624
7	J	16639
7	J	16654
7	J	16669
1	J	16669
13	R	16669
0	J	16669
6	R	16669
13	E	16669
6	Z	16669
7	R	16669
7	J	16684
7	J	16699
7	J	16714
7	J	16729
7	J	16744
0	J	16744
6	R	16744
7	E	16744
0	J	16746
4	R	16746
6	E	16746
17	N	16746
17	J	16747
4	Z	16747
17	R	16747
4	J	16749
4	R	16749
17	E	16750
4	Z	16750
0	R	16750
4	J	19325
4	R	19325
4	Z	19325
0	R	19325
4	J	19467
4	R	19467
4	Z	19467
0	R	19467
4	J	19617
4	R	19617
4	Z	19618
0	R	19618
4	J	19726
4	R	19726
4	Z	19726
0	R	19726
4	J	20571
4	R	20571
4	Z	20571
0	R	20571
4	J	20678
4	R	20678
4	Z	20678
0	R	20679
4	J	22488
4	R	22488
4	Z	22488
0	R	22488
4	J	22620
4	R	22620
4	Z	22620
0	R	22620
4	J	23434
4	R	23434
4	Z	23434
0	R	23434
4	J	23523
4	R	23523
4	Z	23523
0	R	23523
4	J	23544
4	R	23544
4	Z	23544
0	R	23544
4	J	23666
4	R	23666
4	Z	23666
0	R	23666
4	J	24191
4	R	24191
18	N	24193
18	J	24193
4	Z	24194
18	R	24194
